SUBSTÂNCIA,PF 0%,PMC 0%,Est. Med. Margem Lucro %
21-ACETATO DE DEXAMETASONA;CLOTRIMAZOL,23.6,31.66,34.15254237288134
ABATACEPTE,5247.7,7254.64,38.24418316595843
ABEMACICLIBE,9267.603333333333,12432.161666666667,34.14645857738841
ACALABRUTINIBE,34303.17,46016.48,34.14643602909004
ACARBOSE,34.15333333333333,47.21666666666666,38.24907280890104
ACEBROFILINA,48.577209302325585,67.1546511627907,38.24312291150027
ACECLOFENACO,28.076315789473686,38.72736842105263,37.93607648326927
ACEPONATO DE METILPREDNISOLONA,50.64333333333334,67.93333333333334,34.140722701243995
ACETATO DE ABIRATERONA,8092.296,10855.528999999999,34.14646473633687
ACETATO DE CETRORRELIX,206.01,284.8,38.24571622736761
ACETATO DE CIPROTERONA,129.665,179.255,38.24470751552076
ACETATO DE CIPROTERONA;ETINILESTRADIOL,24.448571428571427,33.79904761904762,38.24549102099648
ACETATO DE CLORMADINONA;ETINILESTRADIOL,37.82090909090909,52.28454545454545,38.242434439824045
ACETATO DE DEGARELIX,658.51,910.35,38.24391429135474
ACETATO DE DESMOPRESSINA,251.3542857142857,347.48428571428576,38.24482233387138
ACETATO DE DEXAMETASONA,7.091333333333334,9.802666666666665,38.23446460468174
ACETATO DE FLUDROCORTISONA,201.55,278.63,38.24361200694615
ACETATO DE FLUORMETOLONA,21.0,28.17,34.14285714285714
ACETATO DE GANIRRELIX,239.79,331.5,38.24596521956713
ACETATO DE GLATIRÂMER,3984.4,5508.2,38.24415219355486
ACETATO DE GOSSERRELINA;GOSERRELINA,1175.9850000000001,1625.73,38.24411025650836
ACETATO DE HIDROCORTISONA,11.607142857142858,15.571428571428571,34.15384615384616
ACETATO DE LANREOTIDA,2759.693333333333,3815.1133333333332,38.24410441739905
ACETATO DE LEUPRORRELINA,2131.175,2946.22375,38.244102431757135
ACETATO DE MEDROXIPROGESTERONA,25.084285714285716,34.67714285714286,38.24249672532605
ACETATO DE MEGESTROL,170.71,236.0,38.24614843887293
ACETATO DE METILPREDNISOLONA,13.545,18.725,38.242894056847554
ACETATO DE NOMEGESTROL,37.28,51.54,38.25107296137338
ACETATO DE NORETISTERONA,13.59,18.79,38.2634289919058
ACETATO DE OCTREOTIDA,4186.5575,5787.67,38.24413017138784
ACETATO DE PREDNISOLONA,22.002222222222223,29.513333333333335,34.13796586203415
ACETATO DE RACEALFATOCOFEROL,25.49375,34.2,34.15052708997306
ACETATO DE RACEALFATOCOFEROL;BETACAROTENO;SELÊNIO;COBRE;ÁCIDO ASCÓRBICO;ZINCO,58.24,78.13,34.1517857142857
ACETATO DE RACEALFATOCOFEROL;PALMITATO DE RETINOL;COLECALCIFEROL,86.92999999999999,116.61333333333333,34.14624793895473
ACETATO DE RACEALFATOCOFEROL;ÁCIDO FÓLICO,41.69,55.93,34.15687215159511
ACETATO DE RETINOL;CLORIDRATO DE PIRIDOXINA;RIBOFLAVINA;CIANOCOBALAMINA;FLUORETO;BIOTINA;COLECALCIFEROL;IODETO DE POTÁSSIO;SULFATO DE MANGANÊS;PANTOTENATO DE CÁLCIO;SULFATO DE POTÁSSIO;FUMARATO FERROSO;NITRATO DE TIAMINA;PANAX GINSENG;NICOTINAMIDA;ÁCIDO ASCÓRBICO;RUTOSÍDEO;ACETATO DE RACEALFATOCOFEROL,69.075,92.66,34.14404632645673
ACETATO DE RETINOL;COLECALCIFEROL,8.686666666666667,11.653333333333334,34.151957022256326
ACETATO DE TERLIPRESSINA,260.77,360.5,38.24442995743376
ACETATO DE TOCOFEROL;CÂNFORA (2-BORNANONA);MENTOL,8.23,11.04,34.1433778857837
ACETATO DE TOCOFEROL;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;ASPARTATO DE MAGNÉSIO;CLORIDRATO DE TIAMINA;ASPARTATO DE POTÁSSIO,27.71,37.175,34.15734391916274
ACETATO DE TOCOFEROL;ÁCIDO FÓLICO,60.61,81.31,34.152780069295495
ACETATO DE TRIPTORRELINA,395.805,547.1800000000001,38.244842788747
ACETAZOLAMIDA,11.02,15.23,38.20326678765882
ACETIL-LEVOMETIONINA,8.38,11.24,34.128878281622896
ACETIL-LEVOMETIONINA;BETAÍNA;CITRATO DE COLINA,60.685,81.41,34.15176732306171
ACETILCISTEÍNA,40.52949152542372,54.36915254237288,34.147137050233376
ACETILRACEMETIONINA;BETAÍNA;CITRATO DE COLINA,62.505,83.85000000000001,34.149268058555315
ACETONIDA DE TRIANCINOLONA,35.82,49.52,38.24678950307092
ACICLOVIR,115.63369230769231,159.59199999999998,38.015137988794834
ACICLOVIR SÓDICO,367.88,508.57,38.243448950744806
ACIDO ACETILSALICILICO,44.2325,59.335,34.14344656078674
ACIDO ACETILSALICILICO;CAFEÍNA;HIDROXIDO DE ALUMÍNIO;MALEATO DE MEPIRAMINA,126.27,169.39,34.14904569573136
ACIDO CITRICO;BICARBONATO DE SÓDIO;CARBONATO DE SÓDIO,47.35142857142857,63.51714285714286,34.13986604718517
ACTAEA RACEMOSA L.,63.18333333333333,84.76,34.1493009759958
ADALIMUMABE,5268.883333333333,7283.92,38.24409346699016
ADAPALENO,53.91285714285714,72.32428571428571,34.15034844590477
ADAPALENO;FOSFATO DE CLINDAMICINA,32.03,42.965,34.139868872931636
ADAPALENO;PERÓXIDO DE BENZOÍLA,69.46,93.18,34.149150590267794
AESCULUS HIPPOCASTANUM L.,47.343529411764706,63.548235294117646,34.22792107748123
AFLIBERCEPTE,3538.06,4891.16,38.24412248520375
AGOMELATINA,149.08,199.98666666666668,34.147214023790355
